1504703	Moju	PA	Moju	7	1.046	735.2	2008	2024	2.423
1503606	Itaituba	PA	Itaituba	5	0.793	1240.9	2018	2022	2.163
1503705	Itupiranga	PA	Itupiranga	6	1.012	528.9	2008	2013	2.12
5106422	Peixoto de Azevedo	MT	Peixoto de Azevedo	6	1.097	467.3	2020	2025	2.078
1503754	Jacareacanga	PA	Jacareacanga	7	0.876	246.5	2012	2018	2.023
5101407	Aripuanã	MT	Aripuanã	5	0.804	707.5	2018	2022	1.992
1505064	Novo Repartimento	PA	Novo Repartimento	4	0.917	1586.6	2008	2022	1.927
1506005	Prainha	PA	Prainha	5	0.884	451.6	2013	2024	1.856
1507953	Tailândia	PA	Tailândia	6	1.067	241.4	2020	2025	1.856
5108303	União do Sul	MT	União do Sul	5	0.953	394.0	2020	2024	1.815
1500602	Altamira	PA	Altamira	3	0.727	2189.0	2020	2022	1.594
1506195	Rurópolis	PA	Rurópolis	4	0.942	426.8	2018	2021	1.584
5106158	Nova Bandeirantes	MT	Nova Bandeirantes	4	0.773	421.5	2020	2023	1.581
1100809	Candeias do Jamari	RO	Candeias do Jamari	4	1.064	408.3	2016	2019	1.573
5108907	Nova Maringá	MT	Nova Maringá	4	1.114	390.0	2021	2024	1.561
2104800	Grajaú	MA	Grajaú	4	0.917	359.9	2008	2022	1.54
5107065	Querência	MT	Querência	5	1.052	158.0	2019	2023	1.539
1200401	Rio Branco	AC	Rio Branco	4	0.858	351.6	2019	2022	1.534
1504752	Mojuí dos Campos	PA	Mojuí dos Campos	4	0.958	316.9	2021	2024	1.507
1300144	Apuí	AM	Apuí	3	0.743	1321.2	2020	2022	1.489
5100805	Apiacás	MT	Apiacás	4	0.836	285.4	2020	2023	1.479
1505809	Portel	PA	Portel	4	0.733	256.8	2008	2011	1.452
5103254	Colniza	MT	Colniza	3	0.735	904.7	2020	2022	1.411
1504208	Marabá	PA	Marabá	4	1.069	210.1	2020	2023	1.399
1505486	Pacajá	PA	Pacajá	3	0.746	633.4	2008	2010	1.337
2101608	Barra do Corda	MA	Barra do Corda	4	1.109	160.1	2009	2012	1.329
1303304	Novo Aripuanã	AM	Novo Aripuanã	3	0.846	599.8	2020	2022	1.326
5103379	Cotriguaçu	MT	Cotriguaçu	4	1.024	150.3	2020	2023	1.312
1505650	Placas	PA	Placas	3	0.948	490.8	2014	2020	1.284
1500859	Anapu	PA	Anapu	3	0.804	463.0	2019	2021	1.272
5103056	Cláudia	MT	Cláudia	4	1.126	123.9	2020	2023	1.262
1100338	Nova Mamoré	RO	Nova Mamoré	3	1.158	357.4	2020	2022	1.219
1501006	Aveiro	PA	Aveiro	4	0.906	97.5	2009	2012	1.2
1200500	Sena Madureira	AC	Sena Madureira	3	1.089	290.1	2020	2022	1.176
5105101	Juara	MT	Juara	3	1.039	285.2	2021	2023	1.172
1200609	Tarauacá	AC	Tarauacá	3	1.271	268.5	2020	2022	1.16
1500404	Alenquer	PA	Alenquer	4	0.844	82.8	2009	2012	1.158
1100452	Buritis	RO	Buritis	3	0.955	263.6	2013	2022	1.156
1100304	Vilhena	RO	Vilhena	4	0.96	78.9	2019	2022	1.145
1505502	Paragominas	PA	Paragominas	3	0.873	223.2	2009	2011	1.122
1302900	Maués	AM	Maués	3	0.884	130.3	2023	2025	1.011
1505908	Porto de Moz	PA	Porto de Moz	3	1.03	124.7	2020	2022	1.002
5105150	Juína	MT	Juína	3	1.101	108.7	2021	2023	0.973
5103304	Comodoro	MT	Comodoro	3	0.894	94.7	2018	2020	0.945
1200138	Bujari	AC	Bujari	3	0.83	79.0	2021	2023	0.908
5107941	Tabaporã	MT	Tabaporã	3	0.854	57.2	2013	2015	0.842
1100924	Chupinguaia	RO	Chupinguaia	3	1.098	43.0	2019	2021	0.784
